Comment,Designator,Footprint,LCSC,Quantity
MountingHole_M3,H2,MountingHole_3.2mm_M3,,1
6,SW6,KEY-SMD_2P-L6.0-W6.0-P6.00,,1
PARAM,SW9,SW-TH_EC11XXXXXXXX,,1
MountingHole_M3,H4,MountingHole_3.2mm_M3,,1
1,SW1,KEY-SMD_2P-L6.0-W6.0-P6.00,,1
2,SW2,KEY-SMD_2P-L6.0-W6.0-P6.00,,1
3,SW3,KEY-SMD_2P-L6.0-W6.0-P6.00,,1
VALUE,SW10,SW-TH_EC11XXXXXXXX,,1
5,SW5,KEY-SMD_2P-L6.0-W6.0-P6.00,,1
MountingHole_M3,H3,MountingHole_3.2mm_M3,,1
4,SW4,KEY-SMD_2P-L6.0-W6.0-P6.00,,1
MountingHole_M3,H1,MountingHole_3.2mm_M3,,1
22K,R13,R_0603_1608Metric,,1
MPR121,J7,SM04BSRSSTB,,1
100N,C17,C_0805_2012Metric,,1
470,R12,R_0805_2012Metric,,1
4.7K,R20,R_0805_2012Metric,,1
470,R11,R_0805_2012Metric,,1
2.2U,C18,C_0805_2012Metric,,1
100N,C16,C_0805_2012Metric,,1
470,R2,R_0805_2012Metric,,1
470,R1,R_0805_2012Metric,,1
4.7K,R21,R_0805_2012Metric,,1
1U,C9,C_0805_2012Metric,,1
2.7寸240*96 0.5MM*32P UC1638 三串背光 背面插座,LCD1,Hirose_FH12-32S-0.5SH_1x32-1MP_P0.50mm_Horizontal,,1
2.2N,C6,C_0805_2012Metric,,1
22U,C19,C_1206_3216Metric,,1
470,RN1,R_Array_Convex_4x0603,,1
1U,C10,C_0805_2012Metric,,1
Si2302CDS,Q1,SOT-23,,1
1U,C11,C_0805_2012Metric,,1
100N,C15,C_0805_2012Metric,,1
~,PJ1,AUDIO-IN-SMD_PJ-327A_C22355751,,1
2.2N,C7,C_0805_2012Metric,,1
4.7k,R23,R_0805_2012Metric,,1
10K,RN2,R_Array_Convex_4x0603,,1
100N,C14,C_0805_2012Metric,,1
6.8U,L1,L_APV_APH0420,,1
CH552G,J4,SM07B-SRSS-TB,,1
1K,R15,R_0805_2012Metric,,1
100N,C4,C_0805_2012Metric,,1
22U,C20,C_1206_3216Metric,,1
1U,C8,C_0805_2012Metric,,1
4.7K,R18,R_0805_2012Metric,,1
2.2U,C3,C_0805_2012Metric,,1
SS34,D1,D_SMA,,1
1U,C12,C_0805_2012Metric,,1
1U,C13,C_0805_2012Metric,,1
2.2U,C2,C_0805_2012Metric,,1
100N,C1,C_0805_2012Metric,,1
PCM5102A,U1,TSSOP-20_4.4x6.5mm_P0.65mm,,1
560K,R14,R_0603_1608Metric,,1
100N,C5,C_0805_2012Metric,,1
4.7K,R19,R_0805_2012Metric,,1
SX1308,U2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,,1
Conn_01x05,J2,Harwin_M20-89005xx_1x05_P2.54mm_Horizontal,,1
Conn_01x05,J3,Harwin_M20-89005xx_1x05_P2.54mm_Horizontal,,1
STM32H750VBT6,IC1,QFP50P1600X1600X160-100N,,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,,1
100nF,C23,C_0603_1608Metric,,1
100nF,C27,C_0603_1608Metric,,1
octButton,J9,SM04BSRSSTB,,1
ME6210A33M3G,U3,SOT-23,,1
100nF,C39,C_0603_1608Metric,,1
1uF,C38,C_0805_2012Metric,,1
10uF,C37,C_0805_2012Metric,,1
10uF,C36,C_0805_2012Metric,,1
SMD3225-4,X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,,1
22pF,C34,C_0603_1608Metric,,1
22pF,C33,C_0603_1608Metric,,1
10k,R22,R_0603_1608Metric_Pad0.98x0.95mm,,1
100nF,C30,C_0603_1608Metric,,1
5.1k,R24,R_0603_1608Metric_Pad0.98x0.95mm,,1
10uF,C31,C_0603_1608Metric,,1
100nF,C24,C_0603_1608Metric,,1
W25Q16JVSS,U5,SOIC-8_5.3x5.3mm_P1.27mm,,1
100nF,C29,C_0603_1608Metric,,1
100nF,C28,C_0603_1608Metric,,1
100nF,C26,C_0603_1608Metric,,1
SW_Push,SW7,SW-SMD_4P-L4.5-W4.5-P3.00-LS7.0_TS-1009S-03826,,1
100nF,C25,C_0603_1608Metric,,1
100nF,C32,C_0603_1608Metric,,1
SW_Push,SW8,SW-SMD_4P-L4.5-W4.5-P3.00-LS7.0_TS-1009S-03826,,1
100nF,C35,C_0603_1608Metric,,1
100nF,C22,C_0603_1608Metric,,1
MPR121-2,J8,SM04BSRSSTB,,1
5.1k,R25,R_0603_1608Metric_Pad0.98x0.95mm,,1
100nF,C21,C_0603_1608Metric,,1
600R,L2,L_0603_1608Metric,,1
500mA,F1,Fuse_0603_1608Metric,,1
470,R3,R_0805_2012Metric,,1
100N,C40,C_0603_1608Metric,,1
100N,C41,C_0603_1608Metric,,1
TXS0108EPW,U4,TSSOP-20_4.4x6.5mm_P0.65mm,,1
4.7K,R29,R_0805_2012Metric,,1
4.7K,R28,R_0805_2012Metric,,1
4.7k,R27,R_0805_2012Metric,,1
4.7K,R26,R_0805_2012Metric,,1
10k,R16,R_0603_1608Metric,,1
Si2302CDS,Q2,SOT-23,,1
Debug,LED2,LED_0805_2012Metric,,1
Power,LED1,LED_0805_2012Metric,,1
CH552G-2,J5,SM07B-SRSS-TB,,1
