Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100N,C_0805_2012Metric,217.91,-2.040894,90.0,bottom
C10,1U,C_0805_2012Metric,194.494619,1.484362,90.0,bottom
C11,1U,C_0805_2012Metric,194.534361,5.085382,90.0,bottom
C12,1U,C_0805_2012Metric,190.334362,3.545382,180.0,bottom
C13,1U,C_0805_2012Metric,190.434363,5.715382,180.0,bottom
C14,100N,C_0805_2012Metric,236.899526,-3.38,180.0,bottom
C15,100N,C_0805_2012Metric,241.217738,-3.46,0.0,bottom
C16,100N,C_0805_2012Metric,241.182262,-21.42,0.0,bottom
C17,100N,C_0805_2012Metric,237.182262,-21.5,180.0,bottom
C18,2.2U,C_0805_2012Metric,220.12,-16.10447,0.0,bottom
C19,22U,C_1206_3216Metric,169.394395,4.145287,0.0,bottom
C2,2.2U,C_0805_2012Metric,222.28,-2.040894,90.0,bottom
C20,22U,C_1206_3216Metric,176.352607,-2.644713,0.0,bottom
C21,100nF,C_0603_1608Metric,201.929939,-9.210022,0.0,bottom
C22,100nF,C_0603_1608Metric,198.070061,-3.759982,0.0,bottom
C23,100nF,C_0603_1608Metric,184.429939,-23.270014,0.0,bottom
C24,100nF,C_0603_1608Metric,201.05001,-19.070061,90.0,bottom
C25,100nF,C_0603_1608Metric,198.679939,-23.080006,0.0,bottom
C26,100nF,C_0603_1608Metric,179.679939,-6.360002,90.0,bottom
C27,100nF,C_0603_1608Metric,184.460183,-25.039978,0.0,bottom
C28,100nF,C_0603_1608Metric,201.919817,-7.490018,180.0,bottom
C29,100nF,C_0603_1608Metric,181.539817,-6.270014,90.0,bottom
C3,2.2U,C_0805_2012Metric,220.2,-2.040894,270.0,bottom
C30,100nF,C_0603_1608Metric,204.539817,-19.05001,90.0,bottom
C31,10uF,C_0603_1608Metric,202.789817,-19.080006,90.0,bottom
C32,100nF,C_0603_1608Metric,243.789817,-16.860002,270.0,bottom
C33,22pF,C_0603_1608Metric,201.149695,-14.960022,90.0,bottom
