Comment,Designator,Footprint,LCSC,Quantity
Conn_01x04,J5,SM04BSRSSTB,,1
MPR121QR2,U1,UQFN-20_3x3mm_P0.4mm,,1
MountingHole_M3,H1,MountingHole_3.2mm_M3,,1
OCT+,SW1,KEY-SMD_2P-L6.0-W6.0-P6.00,,1
MountingHole_M3,H3,MountingHole_3.2mm_M3,,1
MountingHole_M3,H4,MountingHole_3.2mm_M3,,1
PitchBend,J2,TouchSlider-6_50x10mm,,1
ModWheel,J1,TouchSlider-6_50x10mm,,1
OCT-,SW2,KEY-SMD_2P-L6.0-W6.0-P6.00,,1
MountingHole_M3,H2,MountingHole_3.2mm_M3,,1
R_Small,R2,R_0603_1608Metric,,1
Conn_01x04,J3,SM04BSRSSTB,,1
R_Small,R1,R_0603_1608Metric,,1
100nF,C1,C_0603_1608Metric,,1
Conn_01x04,J4,SM04BSRSSTB,,1
100nF,C2,C_0603_1608Metric,,1
10k,R4,R_0603_1608Metric,,1
10k,R3,R_0603_1608Metric,,1
10k,R6,R_0603_1608Metric,,1
10k,R5,R_0603_1608Metric,,1
