Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,102.185061,-96.340002,0.0,bottom
C2,100nF,C_0603_1608Metric,98.685061,-94.675006,90.0,bottom
J1,ModWheel,TouchSlider-6_50x10mm,87.5,-100.041668,90.0,top
J2,PitchBend,TouchSlider-6_50x10mm,112.25,-100.041668,90.0,top
J3,Conn_01x04,SM04BSRSSTB,104.57,-85.609,180.0,bottom
J4,Conn_01x04,SM04BSRSSTB,95.2,-85.65,180.0,bottom
J5,Conn_01x04,SM04BSRSSTB,121.263,-114.363,270.0,bottom
R1,R_Small,R_0603_1608Metric,96.81,-95.175,90.0,bottom
R2,R_Small,R_0603_1608Metric,96.84,-91.925,90.0,bottom
R3,10k,R_0603_1608Metric,102.13,-94.575,0.0,bottom
R4,10k,R_0603_1608Metric,98.65,-91.425,270.0,bottom
R5,10k,R_0603_1608Metric,100.34175,-87.69,90.0,top
R6,10k,R_0603_1608Metric,98.62175,-87.69,90.0,top
SW1,OCT+,KEY-SMD_2P-L6.0-W6.0-P6.00,105.55,-131.877,0.0,top
SW2,OCT-,KEY-SMD_2P-L6.0-W6.0-P6.00,93.05,-131.881,0.0,top
U1,MPR121QR2,UQFN-20_3x3mm_P0.4mm,99.645,-98.64,-90.0,top
