Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C42,100nF,C_0603_1608Metric,71.279939,-93.400002,0.0,top
C43,100nF,C_0603_1608Metric,71.279939,-109.320006,0.0,top
C44,100nF,C_0603_1608Metric,64.079939,-104.44001,270.0,bottom
C45,100nF,C_0603_1608Metric,59.079939,-112.260014,90.0,bottom
D10,D_Small,D_1206_3216Metric,81.6,-95.65,0.0,bottom
D11,D_Small,D_1206_3216Metric,81.6,-105.95,0.0,bottom
D12,D_Small,D_1206_3216Metric,81.6,-116.05,0.0,bottom
D13,D_Small,D_1206_3216Metric,81.8,-126.55,0.0,bottom
D2,D_Small,D_1206_3216Metric,46.76,-125.25,180.0,bottom
D3,D_Small,D_1206_3216Metric,46.76,-114.75,180.0,bottom
D4,D_Small,D_1206_3216Metric,46.76,-104.25,180.0,bottom
D5,D_Small,D_1206_3216Metric,46.56,-93.55,180.0,bottom
D6,D_Small,D_1206_3216Metric,48.48,-82.05,270.0,bottom
D7,D_Small,D_1206_3216Metric,59.08,-81.95,270.0,bottom
D8,D_Small,D_1206_3216Metric,79.88,-81.85,270.0,bottom
D9,D_Small,D_1206_3216Metric,69.55,-81.92,270.0,bottom
J10,CH552G,SM07B-SRSS-TB,69.7,-134.47267,0.0,top
J11,CH552G,SM07B-SRSS-TB,46.13432,-124.3,-90.0,top
J12,CH552G,SM07B-SRSS-TB,46.19733,-113.75699,-90.0,top
J13,CH552G,SM07B-SRSS-TB,46.11733,-103.15699,-90.0,top
J14,CH552G,SM07B-SRSS-TB,46.03733,-92.55699,-90.0,top
J15,CH552G,SM07B-SRSS-TB,49.47367,-81.43599,180.0,top
J16,CH552G,SM07B-SRSS-TB,60.07367,-81.35599,180.0,top
J17,CH552G,SM07B-SRSS-TB,80.976,-81.23599,180.0,top
J18,CH552G,SM07B-SRSS-TB,70.576,-81.33199,180.0,top
J19,CH552G,SM07B-SRSS-TB,82.19467,-96.65466,90.0,top
J20,CH552G,SM07B-SRSS-TB,82.29067,-106.85466,90.0,top
J21,CH552G,SM07B-SRSS-TB,82.18667,-117.110485,90.0,top
J22,CH552G,SM07B-SRSS-TB,82.28267,-127.45466,90.0,top
J6,CH552G,SM07B-SRSS-TB,58.9,-134.37034,0.0,top
RN3,10k,R_Array_Convex_4x0603,69.06,-101.78,180.0,bottom
RN4,10k,R_Array_Convex_4x0603,69.38,-119.58,180.0,bottom
RN5,10k,R_Array_Convex_4x0603,63.62,-126.3,0.0,bottom
U6,74HC138,SOIC-16_3.9x9.9mm_P1.27mm,61.575,-119.04175,0.0,bottom
U7,74HC138,SOIC-16_3.9x9.9mm_P1.27mm,61.525,-97.64175,180.0,bottom
U8,CD74HC4067M,SOIC-24W_7.5x15.4mm_P1.27mm,63.755,-100.385,0.0,top
U9,CD74HC4067M,SOIC-24W_7.5x15.4mm_P1.27mm,63.77,-116.305,0.0,top
